tag,mapping,alignment_class,step,op_name,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_weighted_total,pct_of_step
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_shared_gate_up_gemm,context_shared_ffn,2.351671346463263,93.99621972131752,9.0,21.165042118169367,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0233081003543934,0.025018786430300713
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,generation_attention,attention_scaled,0.0,93.99621972131752,9.0,0.0,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_add_norm_1,generation_other,0.01915543880597015,8.869891315420237,7.0,0.13408807164179104,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.00014766510799763425,0.0021596024263193132
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_add_norm_2,generation_other,0.01915543880597015,8.869891315420237,7.0,0.13408807164179104,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.00014766510799763425,0.0021596024263193132
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_embedding,generation_other,0.00304814328358209,8.869891315420237,7.0,0.021337002985074627,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,2.3497473053038563e-05,0.0003436505787035876
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_logits_gemm,generation_other,0.6548326268666912,8.869891315420237,7.0,4.583828388066839,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0050479621764920055,0.07382645441531734
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_mla_block,generation_mla_block,1.6360629888431348,8.869891315420237,7.0,11.452440921901944,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.012612053442657652,0.1844513005473756
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_moe_overlap,generation_moe,6.537636678814889,8.869891315420237,7.0,45.76345675170422,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.05039721804366165,0.737059389605965
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_p2p,generation_other,0.0,8.869891315420237,7.0,0.0,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_add_norm_1,context_other,1.0698344597014926,93.88838444023584,2.0,2.139668919402985,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.009024843586172279,0.01139474777502951
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_add_norm_2,context_other,1.0698344597014926,93.88838444023584,2.0,2.139668919402985,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.009024843586172279,0.01139474777502951
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_attention (scaled),attention_scaled,0.0,93.88838444023584,2.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_embedding,context_other,0.046826435820895525,93.88838444023584,2.0,0.09365287164179105,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0003950155607246301,0.0004987457830920784
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_logits_gemm,context_other,0.6363647375022955,93.88838444023584,2.0,1.272729475004591,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.005368206424493231,0.006777885691572104
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_mla_block,context_mla_block,39.20868953677592,93.88838444023584,2.0,78.41737907355184,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.3307542462101332,0.41760958792228453
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_moe,context_moe,47.686654864847654,93.88838444023584,2.0,95.37330972969531,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.40227214350817664,0.5079079286448085
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_moe_post_dispatch,context_other,0.0,93.88838444023584,2.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_moe_pre_dispatch,context_other,0.0,93.88838444023584,2.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_p2p,context_other,0.0,93.88838444023584,2.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_router_gemm,context_other,0.3437508377683116,93.88838444023584,2.0,0.6875016755366232,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.002899792127036461,0.00366127119789908
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_shared_act_gate,context_shared_ffn,0.24339309850746266,93.88838444023584,2.0,0.4867861970149253,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.002053200496641852,0.0025923664568154674
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_shared_ffn2_gemm,context_shared_ffn,1.233331052547631,93.88838444023584,2.0,2.466662105095262,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.010404058065504155,0.01313614096036237
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_shared_gate_up_gemm,context_shared_ffn,2.3497049570626887,93.88838444023584,2.0,4.699409914125377,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.019821496231352726,0.02502657779310689
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,generation_attention,attention_scaled,0.0,93.88838444023584,2.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_add_norm_1,generation_other,0.01825676417910448,3.5221263464154835,14.0,0.2555946985074627,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0010780650008826284,0.005183449536864184
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_add_norm_2,generation_other,0.01825676417910448,3.5221263464154835,14.0,0.2555946985074627,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0010780650008826284,0.005183449536864184
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_embedding,generation_other,0.0030106985074626865,3.5221263464154835,14.0,0.04214977910447761,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.00017778225414227252,0.0008547957146757997
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_logits_gemm,generation_other,0.6693720568159927,3.5221263464154835,14.0,9.371208795423897,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.03952653273837362,0.19004771293829983
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,generation_mla_block,0.8694145548450253,3.5221263464154835,14.0,12.171803767830355,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.05133907595241489,0.24684365901008645
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_moe_overlap,generation_moe,1.9438155078887938,3.5221263464154835,14.0,27.213417110443114,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.11478263325689678,0.5518869332632095
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_p2p,generation_other,0.0,3.5221263464154835,14.0,0.0,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_add_norm_1,context_other,0.5479612656716418,52.90918161455185,9.0,4.931651391044777,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.00850117444776632,0.01035663846898236
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_add_norm_2,context_other,0.5479612656716418,52.90918161455185,9.0,4.931651391044777,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.00850117444776632,0.01035663846898236
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_attention (scaled),attention_scaled,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_embedding,context_other,0.02508171940298507,52.90918161455185,9.0,0.22573547462686563,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0003891225264496578,0.00047405230316559526
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_logits_gemm,context_other,0.6363647375022955,52.90918161455185,9.0,5.727282637520659,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.009872682586940027,0.012027491601330558
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_mla_block,context_mla_block,15.287847796663023,52.90918161455185,9.0,137.5906301699672,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.23717855474881658,0.28894508155571885
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_moe,context_moe,33.416504859924316,52.90918161455185,9.0,300.74854373931885,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.518429960374386,0.6315823424253009
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_moe_post_dispatch,context_other,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_moe_pre_dispatch,context_other,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_p2p,context_other,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_router_gemm,context_other,0.21767845956328646,52.90918161455185,9.0,1.959106136069578,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0033771046864057813,0.004114190636118578
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_act_gate,context_shared_ffn,0.13156312835820896,52.90918161455185,9.0,1.1840681552238808,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0020410951925518344,0.002486584073756011
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_ffn2_gemm,context_shared_ffn,0.665716313380821,52.90918161455185,9.0,5.99144682042739,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.010328048472253751,0.012582245520836522
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_gate_up_gemm,context_shared_ffn,1.4325020684136285,52.90918161455185,9.0,12.892518615722656,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.02222410732890709,0.02707473494580837
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,mix_step,generation_attention,attention_scaled,0.0,52.90918161455185,9.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_add_norm_1,generation_other,0.0226217552238806,14.847356030104152,7.0,0.15835228656716419,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0002729674718603652,0.0015236217935377355
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_add_norm_2,generation_other,0.0226217552238806,14.847356030104152,7.0,0.15835228656716419,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0002729674718603652,0.0015236217935377355
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_embedding,generation_other,0.003192573134328358,14.847356030104152,7.0,0.022348011940298507,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,3.852347479593319e-05,0.00021502637424839624
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_logits_gemm,generation_other,0.6596682580898656,14.847356030104152,7.0,4.617677806629059,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.007959947178954234,0.04443001546890488
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_mla_block,generation_mla_block,1.260794241539142,14.847356030104152,7.0,8.825559690773995,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.01521348866359137,0.08491708819959494
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_moe_overlap,generation_moe,12.878457446893055,14.847356030104152,7.0,90.14920212825139,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.15539908092669433,0.8673906263701764
agg_aic_p0_dense_b36_isl1024_ctx4096,intended_case,strict_prefix0,genonly_step,generation_p2p,generation_other,0.0,14.847356030104152,7.0,0.0,52.90918161455185,14.847356030104152,121.69111771346924,32.4143524536954,607.9064045189002,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_add_norm_1,context_other,1.0698344597014926,93.88838444023584,2.0,2.139668919402985,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.007141333032259522,0.01139474777502951
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_add_norm_2,context_other,1.0698344597014926,93.88838444023584,2.0,2.139668919402985,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.007141333032259522,0.01139474777502951
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_attention (scaled),attention_scaled,0.0,93.88838444023584,2.0,0.0,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_embedding,context_other,0.046826435820895525,93.88838444023584,2.0,0.09365287164179105,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.00031257468842800935,0.0004987457830920784
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_logits_gemm,context_other,0.6363647375022955,93.88838444023584,2.0,1.272729475004591,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.004247846458187855,0.006777885691572104
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_mla_block,context_mla_block,39.20868953677592,93.88838444023584,2.0,78.41737907355184,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.2617248932313444,0.41760958792228453
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_moe,context_moe,47.686654864847654,93.88838444023584,2.0,95.37330972969531,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.3183168017221241,0.5079079286448085
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_moe_post_dispatch,context_other,0.0,93.88838444023584,2.0,0.0,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_moe_pre_dispatch,context_other,0.0,93.88838444023584,2.0,0.0,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_p2p,context_other,0.0,93.88838444023584,2.0,0.0,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_router_gemm,context_other,0.3437508377683116,93.88838444023584,2.0,0.6875016755366232,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.002294597253211195,0.00366127119789908
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_shared_act_gate,context_shared_ffn,0.24339309850746266,93.88838444023584,2.0,0.4867861970149253,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0016246917066779858,0.0025923664568154674
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_shared_ffn2_gemm,context_shared_ffn,1.233331052547631,93.88838444023584,2.0,2.466662105095262,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.008232701522558289,0.01313614096036237
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context_shared_gate_up_gemm,context_shared_ffn,2.3497049570626887,93.88838444023584,2.0,4.699409914125377,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.01568469352783581,0.02502657779310689
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,generation_attention,attention_scaled,0.0,93.88838444023584,2.0,0.0,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_add_norm_1,generation_other,0.01915543880597015,7.988629348710229,14.0,0.2681761432835821,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0008950614429775296,0.002397837973176564
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_add_norm_2,generation_other,0.01915543880597015,7.988629348710229,14.0,0.2681761432835821,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0008950614429775296,0.002397837973176564
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_embedding,generation_other,0.00304814328358209,7.988629348710229,14.0,0.042674005970149254,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0001424282447111017,0.0003815602339936093
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_logits_gemm,generation_other,0.6548326268666912,7.988629348710229,14.0,9.167656776133677,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.03059786005682068,0.08197058572662587
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,generation_mla_block,0.754801022133127,7.988629348710229,14.0,10.567214309863779,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.03526900630544834,0.09448442144270848
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_moe_overlap,generation_moe,6.537636678814889,7.988629348710229,14.0,91.52691350340844,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.30547911633217834,0.8183677566503189
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_p2p,generation_other,0.0,7.988629348710229,14.0,0.0,93.88838444023584,7.988629348710229,183.0823496584599,13.715279688145271,388.8115449806389,32,1024,4,1024,0,8,1,8191,1024,1024,0,0.0,0.0
